ID,Parent_SMILES,Value
127,CC(C)CCN(C1C)c(nc(Nc(cc2F)cc(F)c2O)nc2)c2N(C)C1=O,1
128,Cc(cc(cc1)Nc2c(cc(cc3)-c4ccc(CNCCS(C)(=O)=O)o4)c3ncn2)c1Oc1cc2ncnn2cc1,4.522878745
129,C=CC(N(CCC1)C[C@@H]1N(c(ccnc1N)c1N1c(cc2)ccc2Oc2ccccc2)C1=O)=O,8.446836219
130,C[C@H](CN(C)CC1)N1C(Oc(cc1c(Nc2cccc(Cl)c2F)ncnc1c1)c1OC)=O,5.384817591
131,NC(c1c(Nc(cc2)ccc2C(N2CCOCC2)=O)oc(-c(c(F)ccc2)c2Cl)n1)=O,7.03653096
132,C([C@H]1OCCC1)Nc1c(c(-c2ccccc2)c(-c2ccccc2)o2)c2ncn1,6.369277389
133,OCCNCCNc(c(C(c1c2c(O)ccc1O)=O)c1C2=O)ccc1NCCNCCO,5.292626558
134,N#C/C(/C(NCc1ccccc1)=O)=C\c(cc1)cc(O)c1O,1
135,COc(cc(cc1)NC2CN(CCF)C2)c1Nc1nc(Nc2cc(NC(C=C)=O)ccc2)c(C(F)(F)F)cn1,7.955068103
136,Cc1cc(CN(CC2)CCN2c(c(nc(-c(cc2)ccc2N2CCN(C)CC2)[nH]2)c2nc2)c2Br)no1,5.422934785
137,CN(C)CCN(C)c(cc(c(Nc1nc(-c2cn(C)c3c2cccc3)ccn1)c1)OC)c1NC(C=C)=O,8.062578312
138,CCN(CCCOc1ccc2c(Nc3cc(CC(Nc4cccc(F)c4)=O)n[nH]3)ncnc2c1)CCO,5.826250439
139,CCCS(Nc(c(F)c1C(c(c2c3)c[nH]c2ncc3Cl)=O)ccc1F)(=O)=O,4.9255594
140,CN(C)Cc1cn(-c2ccnc(Nc(c(OC)c3)cc(NC(C=C)=O)c3N3CCOCC3)n2)nc1-c1ccccc1,5.849082388
141,C[C@@H](C(N1CCN(Cc2c(C)c3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1)=O)O,5.90114019
142,CC(C)NCCN(c1cc2nc(-c3cn(C)nc3)cnc2cc1)c1cc(OC)cc(OC)c1,5.922591452
143,CC1(COc(cc2)cc(nc3)c2n3-c(ccc2ccc3)nc2c3N(CC2)CCC2N)COC1,4.522878745
144,NC(c1c(NC(N)=O)sc(-c(cc2)ccc2F)c1)=O,6.144642774
145,Cc1cccc(C)c1OC(N(c(ccc(OC)c1)c1OC)c1nc(Nc(cc2)ccc2N2CCN(C)CC2)ncc1)=O,6.473971626
146,COc(ccc(/C=C/C(O)=O)c1)c1OC,1
147,CCn(c(C(N(C1CC1)C1CC1)=O)c1)c(nc2Nc3nn(C)c(C)c3)c1c1c2ncn1C,1
148,CC#CC(N(CCC1)[C@@H]1c1nc(-c(cc2)ccc2C(Nc2ncccc2)=O)c2n1ccnc2N)=O,8.698970004
149,Nc1c(c(-c2cccc(OCc3ccccc3)c2)cn2[C@H]3C[C@H](CN4CCCC4)C3)c2ncn1,5.863431276
150,C/C(/CO)=C\CNc1ncnc2c1nc[nH]2,4.522878745
151,COCCNCc(cc1)cnc1-c1cc2nccc(Oc(ccc(NC(C3(CC3)C(Nc(cc3)ccc3F)=O)=O)c3)c3F)c2s1,6.792424319
152,CC(C)(c1c(C2)c(Nc3c4sccc4nc(C)n3)n[nH]1)N2C(N[C@H](CN(C)C)c1ccccc1)=O,6.547956765
153,Cc1c(ccc(N(C)c2ccnc(Nc3cc(S(N)(=O)=O)c(C)cc3)n2)c2)c2nn1C,1
154,COc1cccc(OCCCN)c1-c1cc(Nc2ncc(C#N)nc2)n[nH]1,5.004571886
155,CC(C)(C)CCNC(Nc(cc(c(C)c1)-c2cc3cnc(NC)nc3nc2C)c1F)=O,6.473691531
156,CN(c1c(C=C2c(c(Cl)ccc3)c3Cl)cnc(Nc3cc(SC)ccc3)n1)C2=O,7.174114673
157,O=C(CNc1cccc(Cl)c1)NC(CCC1)CN1c1ncnc2c1cc[nH]2,6.050908212
158,Cc1cccc(-c2c(-c3cn4ncnc4cc3)[nH]c(CNc(cccc3)c3F)n2)n1,4.522878745
159,CC(C)n(c1ncnc(N)c11)nc1-c(cc1)cc2c1oc(N)n2,5.395110984
160,CC(C)n1c(nc(NCCO)nc2Nc3cccc(Cl)c3)c2nc1,5.575673101
161,Nc(c(N)c1)cc(N)c1N,4.522878745
162,CN(c1ncccc1CNc1nc(Nc(cc2)cc(C3)c2NC3=O)ncc1C(F)(F)F)S(C)(=O)=O,5.567807904
163,Cc1cccc(Nc(nc(N[C@H](CCCC2)[C@H]2N)nc2)c2C(N)=O)c1,5.904284366
164,CN(C(CN1CCN(C)CC1)=O)c(cc1)ccc1N/C(/c1ccccc1)=C(/c(ccc(C(OC)=O)c1)c1N1)\C1=O,7.309883518
165,N#CC[C@H](C1CCCC1)n1ncc(-c2ncnc3c2cc[nH]3)c1,5.267433975
166,Cn1ncc(-c2nccc(Oc(cc(c(NC(C3(CC3)C(Nc3ccccc3)=O)=O)c3)F)c3F)c2)c1,4.522878745
167,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,6.39719904
168,CNC(c(cccc1)c1Nc(nc(Nc(ccc(C1)c2CCC[C@@H]1N1CCN(CCO)CC1)c2OC)nc1)c1Cl)=O,5.56831554
169,NCc(cc1)ccc1Nc(nc1)nc(Nc2ccccc2)c1F,6.492541354
170,C[C@@H](c(nc1)ncc1F)Nc(nc1)nc(Nc2n[nH]c(C)c2)c1Cl,4.522878745
171,O=C(C1CC1)Nc1nn2c(-c3ccc(CN(CC4)CCS4(=O)=O)cc3)cccc2n1,5.037087115
172,O/N=C(\c(cccc1)c1N1)/C1=C(\c(ccc(Br)c1)c1N1)/C1=O,6.349279531
173,CN(C)C(CC1)CCN1c(cc1)cc(OC)c1Nc(nc1)nc(Nc(cccc2)c2P(C)(C)=O)c1Cl,6.426127468
174,CN1CCC(CNc(cc2)nn3c2ncc3-c2cccc(OC(F)(F)F)c2)CC1,5.822462968
175,C[C@H](c(c(Cl)c(cc1)F)c1Cl)Oc1c(N)ncc(-c2cn(C3CCNCC3)nc2)c1,5.714174349
176,C(CC1)CCC1Nc1c2nc[nH]c2nc(Nc(cc2)ccc2N2CCOCC2)n1,7.16310669
177,C=CC(N(CCC1)C[C@@H]1n(c1ncnc(N)c11)nc1-c(cc1)ccc1Oc1ccccc1)=O,8.698970004
178,CN(CC1)CCN1c(cc1)ccc1Nc1nc(Oc2cc(NC(C=C)=O)ccc2)c2sccc2n1,8.698970004
179,Cc1cc(Nc2nc(Sc(ccc(S(Cc(cccc3[N+]([O-])=O)c3F)(=O)=O)c3)c3F)nc(N3CCOCC3)c2OC)n[nH]1,4.522878745
180,CC(C)(C)n(c1c2c(N)ncn1)nc2-c1ccc(C)cc1,7.060462554
181,Cn1c(cccc2)c2c(C(C(N2)=O)=C(c3cn(CCCSC(N)=N)c4c3cccc4)C2=O)c1,5.202707203
182,O=C(c1ccc(/C=C/c2n[nH]c3c2cccc3)cc1)N1CCNCC1,6.263375924
183,CC(C)NC([C@H](CC1)CC[C@H]1n1c(NC(c(cc2)ccc2F)=O)nc2c1cc(CN(CC1)CCC1C(C)(C)O)cc2)=O,5.947616045
184,C=CC(N1CCC(CNc2ncnc(N)c2-c(cc2)ccc2Oc2ccccc2)CC1)=O,8.437747888
185,Cn1cnc(-c2cc3nccc(Oc(ccc(NC(NC(Cc4ccccc4)=O)=S)c4)c4F)c3s2)c1,7.091083808
186,COc(cc(cc1)N2CCOCC2)c1Nc(nc1)nc(Nc(cccc2)c2NS(C)(=O)=O)c1Cl,5.75764094
187,Cc1c(C2(COC2)OC)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,5.324045738
188,CC(c(ccc(O)c1C=O)c1O1)=CC1=O,6.585605625
189,CC(C)([C@H](CNC1)[C@@H]1Nc(c1c2)nc(-c(cc(cc3)F)c3O)nc1cc(OC)c2OC)O,5.82916375
190,CCS(Nc(cc1)cc(/C2=C(\c3ccccc3)/Nc3ccc(CN4CCCCC4)cc3)c1NC2=O)(=O)=O,7.246743075
191,C=CC(Nc1cccc(-c2c3nc(Nc(c(F)c4F)ccc4N4CCN(CCO)CC4)ncc3ccc2)c1)=O,8.698970004
192,CC(C)[C@H](CO)Nc(nc1Nc(cc2)cc(Cl)c2C(O)=O)nc2c1ncn2C(C)C,6.731285089
193,Nc(nccc1Oc(ccc(NC(C2=CNC=C(c(cc3)ccc3F)C2=O)=O)c2)c2F)c1Cl,5.105723264
194,CN(CC1)Cc(cc2)c1cc2Nc1ncc(C2CC2)c(NCCCNC(C2CCC2)=O)n1,4.522878745
195,Cn1c(cccc2)c2c(C=C(c(nccc2)c2N2)C2=O)c1,5.668355914
196,O=C(Nc1cccc(Nc(nc2)nc(NCCc3c[nH]cn3)c2Br)c1)N1CCCC1,5.819840973
197,O=C(c(cc1)ccc1Nc1nccc(-c2cc(cccc3)c3s2)n1)N(CC1)CCC1N1CCCC1,5.919078864
198,CN(C)Cc1cccc(N/C(/c2ccccc2)=C(/c(ccc(C(N)=O)c2)c2N2)\C2=O)c1,5.334772218
199,Cc1nn(C)c(Nc2nc(N(C)C(N(C3)c4c(C)ccc(NC(c5cccc(C(F)(F)F)c5)=O)c4)=O)c3cn2)c1,8.270578679
